pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_REGULATION_OF_DENDRITIC_CELL_CHEMOTAXIS	1	0.2459381432496574	1.5453320231859615	1.0	43.87	{'CALR;IL12A;C1QBP;SLAMF8;LGALS9;CCR6;SLAMF1;CCR7;GAS6'}
GOBP_PROTEIN_HOMOTETRAMERIZATION	1	0.2458305743497815	1.5452355950623673	1.0	55.16	{'ACACB;SHMT1;ALDH9A1;ACACA;APIP;RYR1;MAT1A;TRPM4;CRTC2;GBP5;TK1;SAMHD1;SSBP1;EVL;GNMT;TRPM2;USP16;TRPA1;HPRT1;ACOT13;SHMT2;GLS;CRTC3;KCNJ2;VASP;ALDH1A2;CRTC1;CBY1;GOLGA2;OSBPL2;TDO2;MIP;SOD2;CTH;MCOLN1'}
GOBP_CALCIUM_ION_IMPORT	1	0.24516987007002203	1.5462021198104514	1.0	33.02	{'ATP2A2;MCU;ATP2C2;AFG3L2;ATP2B4;CACNA2D1;WNK3;TRPV6;SLC25A23;FYN;CACNA1F;PLN;MCUB;CTNNB1;CACNB2;PRNP;CACNA1I;PSEN2;CXCL12;EGF;FCRL3;HES1;SLC8A1;TRPM2;MICU3;PDGFRB;TRPV4;CCL3;SLC24A2;SPHK2;MCUR1;ATP2A1'}
GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS	1	0.24503558162726077	1.5470882251935825	1.0	57.65	{'MAP2K1;PLXNA2;LPAR3;ELL3;SPINT1;SOX10;TENM4;NRP1;ROBO1;DRD2;LRP8;IL1B;DBNL;KIT;PTPRZ1;SERPINE2;FBXO31;BAIAP2;ASPA;STK25;GOLGA4;MTOR;SEMA4D;CTNNB1;SHOX2;IL34;PTN;EIF4G2;TIAM2;DIXDC1;GDI1;RELN;KDM1A;HAP1;NIN;DHX36;ZNF488;SMO;LRP2;OBSL1;CX3CL1;BMPR2;CUX1;CXCL12;LIMK1;PTPRD;PLXNA4;STAU2;FN1;HES1;NTRK2;PAFAH1B1;ROBO2;PPP1CC;PLXNA3;MDK;PLXNC1;MYC;ANKRD27;MEGF8;CUX2;SPEN;RAB11A;PRKCI;CXCR4;VEGFA;BMP2;FZD3;EPHA4;EFNA5;GLI3;PLXNB3;HIF1A;TRIM32;SKIL;SLIT2;RASSF10;SEMA5A;MACF1;RUFY3;TRPV2;MIR142;LYN;NTN1;SYNJ1;ACTR2;DICER1;MAP6;PLXNA1;LIG4;AMIGO1;DAG1;SEMA7A;CAPRIN2;PLXNB2;CHODL;EGR2;WNT3;CDKL3;ZFYVE27;SRRT;ADNP;NOTCH1;PAK3;RAB21;SOX8;VEGFC;NGF;CDKL5;CRABP2;RGS14;CYFIP1;CAPRIN1;NPTN;XRCC5;L1CAM;MIR221;PRPF19;SMARCD3;TWF2;PLAG1;SS18L2;LTA;METRN;SNW1;ZNF335;UFL1;DISC1;TP73;TGM2;MAN2A1;TGFB1;TNFRSF1B'}
GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	1	0.24501754032798617	1.5465708261590183	1.0	49.62	{'PYCARD;HFE;HLA-DOB;HLA-DOA;TREM2;TAPBPL'}
GOBP_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY	1	0.2448335734026473	1.547077199173073	1.0	30.51	{'ABHD5;RASGRP4;LPAR2;KIT;RHOA;PRKCZ;PTAFR;GNA15;FLT1;P2RY12;PLIN5;APOC2;ARL1;FGF2;C5AR1;LPAR1;CCL5;FGFR2;SELE;FGFR1;EGFR;PDGFRB;AGT;AGTR1;HTR2B;PLAA;PDGFRA'}
GOBP_POSITIVE_REGULATION_OF_HEPATOCYTE_PROLIFERATION	1	0.2447156596819422	1.5469942726848023	1.0	25.39	{'CFLAR;PTN;TNFAIP3;FGF1;MDK;HPN'}
GOBP_OOGENESIS	1	0.24442750313797207	1.547773059134113	1.0	32.41	{'PDE3A;RPS6KA2;TUBB8;TDRD5;PAQR5;TDRD10;AURKC;BNC1;NPM2;EREG;SRC;RPS6;NPR2;IGF1;CTNNB1;REC8;ZP3;PTN;MLH1;PAQR7;TDRD1;TRIP13;EDN1;FOXO3;ATM;YTHDC1;MDK;HEXB;LGR5;TDRKH;DMC1;ERCC1;TNFAIP6;YTHDF2;WNT4'}
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	1	0.24421593601203412	1.548522865164888	1.0	25.32	{'GBA;RNF128;LDLR;LRP1;LRP2;ATP13A2;LAPTM4B'}
GOBP_LYMPH_NODE_DEVELOPMENT	1	0.24421558517776643	1.5486965289924899	1.0	57.19	{'IL15;PDPN;TOX;TRAF3IP2;RIPK3;RC3H1;FADD;IL7R;SPNS2;RC3H2;POLB;LTB;LTA;CXCR5;TGFB1'}
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	1	0.24419934608346872	1.548884614421071	1.0	23.09	{'ERAP1;TAP2;TAPBP;TAP1;ERAP2;AZGP1;HLA-F;HLA-A;HLA-G;HFE'}
GOBP_REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE	1	0.24415899481477363	1.5483745128071766	1.0	17.82	{'FOXP3;IL10;IDO1;TNFAIP3;CCL5'}
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION	1	0.24404734546060247	1.5482824900038907	1.0	51.69	{'CLN6;TMEM9;CLN3;PPT1;CCDC115;TMEM199;SNAPIN;GRN;TMEM106B;ATP6AP2'}
GOBP_TRYPTOPHAN_CATABOLIC_PROCESS	1	0.24402651129045572	1.5492286316170458	1.0	55.84	{'IDO1;IL4I1;KMO;AFMID;ACMSD;HAAO;TDO2;KYNU'}
GOBP_CARBOXYLIC_ACID_TRANSPORT	1	0.24371180099525686	1.5499000018474696	1.0	30.47	{'SLC7A6;MPC1;SLC16A7;ITGB1;SLC3A2;SLC16A9;SLC5A6;STXBP1;SLC1A3;SLC9A3R1;SLC16A1;P2RX4;SLC25A12;SLC1A2;DRD2;PDPN;SLC16A11;ARL6IP5;IL1B;ADORA2A;FOLR1;SLC7A8;CLN3;SLC25A30;SV2A;ACE2;SLC16A6;SLC51A;SLC23A1;PTGES;SFXN2;SLC43A1;SLC25A29;MFSD12;PSAP;ABCC3;SLC13A3;SLC7A5;PSEN1;SLCO3A1;SERINC3;SYK;KMO;GABBR1;SLC7A1;ABCC5;LRP2;SLC7A3;SLC13A2;PNPLA8;ABCC2;SLC38A5;EDN1;LRRC8E;LRRC8C;SLC25A38;NTRK2;SERINC5;ANXA1;SLC25A18;SLC1A1;ATP1A2;SLC16A4;SLC16A5;SLC1A4;SLC43A2;MYC;SLC12A2;AGT;SLC27A5;ABCG2;DTNBP1;NF1;ATP8B1;SLC26A1;SLC26A10;SLC46A1;SLC6A14;SLC16A13;PLA2G4F;RAB3GAP1'}
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	1	0.2436342376414349	1.5497591774839874	1.0	30.34	{'PPIA;OTUB2;TRIP12;OTUB1;PARP10;PLAA;TTC36'}
GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE_PHASE_TRANSITION	1	0.24328914114881248	1.5504555146224857	1.0	38.05	{'CDC25C;MAPK15;CDC25A;TTK;OVOL1;CDC25B'}
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	1	0.24180526585375475	1.552395655983815	1.0	77.85	{'MORF4L1;RIF1;RAD51;RMI2;UBQLN4;MRNIP;RUVBL2;EPC1;KDM1A;RUVBL1;CHEK1;MAGEF1;SMCHD1;SETD2;EPC2;PARPBP;TIMELESS;RPA2;ACTB;USP51;RECQL5;BRD8;WDR48;MRGBP;SIRT6;ERCC6;ACTL6A;ACTR2;PPP4C;DMAP1;TP53BP1;HELB;ARID2;FUS;TRRAP;FIGNL1;PPP4R2;POLQ;EP400;YEATS4;KLHL15;WRAP53;RTEL1;RBBP8;KAT5;MAD2L2;SPIDR;MMS19;WAS;TERF2IP;MORF4L2;RAD51AP1;ING3;MBTD1;PARP1;VPS72;ZNF365'}
GOBP_POSITIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	1	0.24175614937899853	1.552051918255683	1.0	22.21	{'SULT2B1;ETV4;ALOX15B;FOXC1;PTCH2;OVOL2;TRIM16;SFRP4;NME2;PTCH1;KDF1'}
GOBP_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	1	0.24165453006184864	1.5536725603664712	1.0	15.71	{'KANK1;ITGB1;BCL6;STMN1;DLC1;ITGA3;CUL3;HEG1;SCAI'}
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	1	0.2416394090129211	1.5523410812481346	1.0	49.62	{'ERAP1;LNPEP;CTSV;TAP2;CALR;PDIA3;TAPBP;LGMN;PIKFYVE;CTSL;SAR1B;TAP1;PYCARD;ERAP2;AZGP1;SLC11A1;HLA-F;HLA-A;HLA-G;HFE;HLA-DQB2;HLA-DPB1;IDE;HLA-DQA1;HLA-DQB1;HLA-DOB;CD209;FCGR2B;CTSD;IFI30;HLA-DMB;HLA-C;HLA-E;HLA-DOA;CLEC4A;DNM2;TREM2;TAPBPL'}
GOBP_HISTIDINE_CATABOLIC_PROCESS	1	0.24149164055573244	1.553622833798323	1.0	25.24	{'HNMT;CARNS1;AMDHD1;CARNMT1'}
