pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS	1	0.24367450218287864	1.3836161661430058	1.0	33.97	{'NVL;GLUL;NOL8;WRN;POLR1A;NMD3;RPF2;RAN'}
GOBP_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION	1	0.24359432049856466	1.3835749122741243	1.0	75.78	{'TMEM30B;XKR8;ANO6;RFT1;TMEM30A;PLSCR1;ATP11B;ARV1;TMEM41B;GBA2;ATP8B2;ATP9A;PRKCD;ATP11C;TRIAP1;ABCA1;ABCC1;PLSCR3;XKR9;ABCB4;VMP1;ATP10D;PLSCR4;TLCD2;PRELID1;ATP10A;ATP8A1;ATG9A;ATP9B;ATP11A;ATP8B4;ABCG1;ATP8B1;ABCA4;ABCB1;ABCA2;ATP8A2;TLCD1;MFSD2A;ABCA7;ABCA12;ANO3;P2RX7;ABCA3;ATP10B;ATG9B;ANO7'}
GOBP_REGULATION_OF_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	1	0.24355120714693831	1.3838564824031683	1.0	30.79	{'ARFIP1;USP7;ATP9A;RAB29'}
GOBP_MALE_MATING_BEHAVIOR	1	0.24351557184338335	1.384004178304	1.0	37.22	{'PPP1R9B;HEXB;HDAC2;DMRTA1;PTEN'}
GOBP_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	1	0.24308290777753302	1.3845839404637332	1.0	24.93	{'ABCB10;MED1;MAPK14;HSPA9;SMAP1;STAT3;LDB1;ZFP36L1;ARNT;STAT5B;BRD1;LYN;FOXO3;P4HTM;KAT7;ANKRD54;ZFP36;PRKDC;PRMT1'}
GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.24281324970351464	1.3849680746832802	1.0	61.46	{'TYW1;ADAL;DHFR2;AMD1;TYW1B;TYW5;MTAP;HPRT1;UCKL1;ADA;DTYMK;TK2;LCMT2;ADK;NT5E;PNP'}
GOBP_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	1	0.24260134342835274	1.3852952010443516	1.0	6.38	{'PAXIP1;SLC15A4;MSH2;MLH1;NDFIP1'}
GOBP_NEUROBLAST_DIVISION	1	0.2422191555136402	1.3858123039627033	1.0	61.03	{'NUMB;RAB10;TEAD3;DOCK7;ARHGEF2;NUMBL;ASPM;SOX5;FGF13;LEF1;AKNA;FGFR2'}
GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	1	0.24173331229749173	1.386439372451675	1.0	56.47	{'FXN;PARL;BCL2L2;BCL2L1;OPA1;TRIAP1;ARRB2;LMNA;GHITM;PSMD10;PRELID1;IGF1;PPIF;AKT1;HGF'}
GOBP_FERTILIZATION	1	0.2414706312365059	1.3868331559775202	1.0	51.41	{'WDR48;TDRKH;PLAT;POMZP3;MST1R;ASH1L;HSPA1L;TUBGCP3;CD46;CCT7;UBAP2L;MFGE8;CRKL;ACRBP;CCT4;UBE3A;CCT8;TCP1;GNPDA1;SPESP1;SPA17;SPAG1;STX2;NR2F2;EHMT2;HEXB;PITHD1;KDM5B;NPM2;SMAD4;UBE2Q1;AP3B1;YBX3;FNDC3A;AAAS;ABHD2;BCL2L1;BAX;SLC9B1;TSSK4;MEIOB;INTS13;PLCD4;NECTIN2;CCT2;FUT10;UBXN8;CECR2;STXBP1;SNU13;ZP3;KLK14;FOLR1;MYH9;TRIM36;UNC13B;PARK7;CATSPER2;ADCY3;TDRD9;CFAP69;LHFPL2;CLIC4;CD9;VDAC2;AR;SYCP2;PLCB1'}
