	signed_agg_ranks
XPC	22909
ITSN1	-22858
SIN3A	22824
PHF21A	-22720
ABAT	-22707
DRD1	22624
SLC38A10	22563
IQGAP3	22546
MPP6	-22360
TSPAN17	-22353
CADPS	-22345
EHMT1	22300
C4B	-22044
TDO2	-21973
SLC25A12	21951
CNTNAP3	21763
RPS6KA3	21708
SEMA5A	-21620
GIGYF2	21611
IL1R2	21580
KLF16	-21572
ZBTB20	-21570
FCRL6	21545
NRCAM	-21497
SETDB2	-21487
CAPRIN1	-21475
CGNL1	21463
SCN1A	-21363
FAT1	-21286
VIL1	-21245
SLC24A2	-21239
CADPS2	-21140
SND1	-21115
SETDB1	21037
EXOC6B	20961
KCNMA1	20916
LRRC4	-20877
RERE	-20817
PTPRT	-20802
AGO3	-20769
DPP6	-20249
ELP4	-20148
CACNA1I	20134
CELF6	19990
DNAH17	19976
NRXN1	-19962
NEO1	-19961
SNX14	19869
NOTCH2NL	-19788
ATRX	-19739
CLASP1	19644
PARD3B	-19525
ZWILCH	19472
ERMN	-19432
PAFAH1B2	19308
SUPT16H	-19164
INTS1	19063
KNG1	19008
HCN1	-18971
PCCB	-18890
GALNT13	-18837
GRIP1	-18750
CNGB3	18531
OR2T10	-18235
SRCAP	18140
CHAMP1	-17999
NLGN4X	-17965
UBE3A	-17903
ABCA10	-17860
TAOK2	17834
RAB11FIP5	17833
PTBP2	-17819
CTNNA3	-17789
QRICH1	-17768
PYHIN1	17762
CNTNAP5	-17667
CNOT3	17631
EIF4E	-17588
LAMB1	17363
SEZ6L2	-17272
DLX6	17052
RORB	-16891
ITPR1	16889
DENR	-16877
MARK1	-16803
CADM2	16705
KIF13B	16697
DRD2	16627
SLCO1B3	16605
PHRF1	-16495
DIXDC1	-16467
CA6	16434
XRCC6	-16365
CACNB1	-16211
HLA-DPB1	16208
WWOX	-16199
BAZ2B	-16136
AZGP1	16131
CLTCL1	16079
AVPR1B	16074
SCAF4	16020
SCFD2	16018
ARHGAP11B	15993
CACNA1B	-15985
NACC1	-15984
MYH10	-15982
TCF7L2	-15960
MIB1	-15949
POLA2	15944
NTNG1	-15923
ZSWIM6	-15915
PPM1D	-15912
ASH1L	-15901
ANKRD11	-15869
CACNA1H	15856
OXTR	15852
MSX2	-15839
SYNCRIP	15811
GPC4	-15810
PIK3CG	-15764
ZNF18	15744
GPX1	-15737
PLN	15731
STXBP5	-15730
MFRP	-15728
IQSEC2	-15715
PCDH9	-15710
PRICKLE2	-15708
CNTN3	-15683
GPR85	15682
SOX5	-15668
DLGAP1	15654
CCNK	15614
RAC1	15607
KMT2C	-15561
JMJD1C	15554
CLIP2	-15549
SPARCL1	-15543
